-0.000000e+000 0.000000e+000
-1.343895e-001 4.156222e+000
-5.368339e-001 8.295096e+000
-1.207580e+000 1.240916e+001
-2.140615e+000 1.646153e+001
-3.333332e+000 2.044521e+001
-4.784539e+000 2.435282e+001
-6.481220e+000 2.814933e+001
-8.419473e+000 3.182838e+001
-1.059671e+001 3.538297e+001
-1.299339e+001 3.878123e+001
-1.560448e+001 4.201766e+001
-1.842607e+001 4.508589e+001
-2.143287e+001 4.795842e+001
-2.462671e+001 5.063700e+001
-2.797896e+001 5.309762e+001
-3.148308e+001 5.533668e+001
-3.588400e+001 5.772596e+001
-4.044805e+001 5.976222e+001
-4.515630e+001 6.143829e+001
-4.999013e+001 6.274630e+001
-5.259385e+001 6.328687e+001
-1.273030e+002 7.713400e+001
-1.317920e+002 7.833700e+001
